entidad_id,entidad_nombre,distrito_federal,distrito_local,municipio_id,municipio_nombre,seccion
24,SAN LUIS POTOSI,1,1,6,CATORCE,98
24,SAN LUIS POTOSI,1,1,6,CATORCE,99
24,SAN LUIS POTOSI,1,1,6,CATORCE,101
24,SAN LUIS POTOSI,1,1,6,CATORCE,102
24,SAN LUIS POTOSI,1,1,6,CATORCE,103
24,SAN LUIS POTOSI,1,1,6,CATORCE,105
24,SAN LUIS POTOSI,1,1,6,CATORCE,106
24,SAN LUIS POTOSI,1,1,6,CATORCE,107
24,SAN LUIS POTOSI,1,1,6,CATORCE,108
24,SAN LUIS POTOSI,1,1,6,CATORCE,109
24,SAN LUIS POTOSI,1,1,6,CATORCE,110
24,SAN LUIS POTOSI,1,1,6,CATORCE,111
24,SAN LUIS POTOSI,1,1,6,CATORCE,112
24,SAN LUIS POTOSI,1,1,6,CATORCE,113
24,SAN LUIS POTOSI,1,1,6,CATORCE,114
24,SAN LUIS POTOSI,1,1,6,CATORCE,115
24,SAN LUIS POTOSI,1,1,6,CATORCE,116
24,SAN LUIS POTOSI,1,1,6,CATORCE,117
24,SAN LUIS POTOSI,1,1,6,CATORCE,118
24,SAN LUIS POTOSI,1,1,7,CEDRAL,119
24,SAN LUIS POTOSI,1,1,7,CEDRAL,120
24,SAN LUIS POTOSI,1,1,7,CEDRAL,121
24,SAN LUIS POTOSI,1,1,7,CEDRAL,122
24,SAN LUIS POTOSI,1,1,7,CEDRAL,123
24,SAN LUIS POTOSI,1,1,7,CEDRAL,124
24,SAN LUIS POTOSI,1,1,7,CEDRAL,125
24,SAN LUIS POTOSI,1,1,7,CEDRAL,126
24,SAN LUIS POTOSI,1,1,7,CEDRAL,127
24,SAN LUIS POTOSI,1,1,7,CEDRAL,128
24,SAN LUIS POTOSI,1,1,7,CEDRAL,129
24,SAN LUIS POTOSI,1,1,7,CEDRAL,130
24,SAN LUIS POTOSI,1,1,7,CEDRAL,131
24,SAN LUIS POTOSI,1,1,7,CEDRAL,132
24,SAN LUIS POTOSI,1,1,7,CEDRAL,133
24,SAN LUIS POTOSI,1,1,7,CEDRAL,134
24,SAN LUIS POTOSI,1,1,7,CEDRAL,135
24,SAN LUIS POTOSI,1,1,15,CHARCAS,384
24,SAN LUIS POTOSI,1,1,15,CHARCAS,385
24,SAN LUIS POTOSI,1,1,15,CHARCAS,386
24,SAN LUIS POTOSI,1,1,15,CHARCAS,387
24,SAN LUIS POTOSI,1,1,15,CHARCAS,388
24,SAN LUIS POTOSI,1,1,15,CHARCAS,389
24,SAN LUIS POTOSI,1,1,15,CHARCAS,390
24,SAN LUIS POTOSI,1,1,15,CHARCAS,391
24,SAN LUIS POTOSI,1,1,15,CHARCAS,392
24,SAN LUIS POTOSI,1,1,15,CHARCAS,393
24,SAN LUIS POTOSI,1,1,15,CHARCAS,394
24,SAN LUIS POTOSI,1,1,15,CHARCAS,395
24,SAN LUIS POTOSI,1,1,15,CHARCAS,396
24,SAN LUIS POTOSI,1,1,15,CHARCAS,397
24,SAN LUIS POTOSI,1,1,15,CHARCAS,398
24,SAN LUIS POTOSI,1,1,15,CHARCAS,399
24,SAN LUIS POTOSI,1,1,15,CHARCAS,400
24,SAN LUIS POTOSI,1,1,15,CHARCAS,401
24,SAN LUIS POTOSI,1,1,15,CHARCAS,402
24,SAN LUIS POTOSI,1,1,15,CHARCAS,403
24,SAN LUIS POTOSI,1,1,15,CHARCAS,404
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,490
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,491
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,492
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,493
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,494
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,495
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,496
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,497
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,498
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,499
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,500
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,501
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,502
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,503
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,504
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,505
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,506
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,507
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,508
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,509
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,510
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,511
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,512
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,513
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,514
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,515
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,516
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,517
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,518
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,519
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,520
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,521
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,522
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,523
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,524
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,525
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,526
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,527
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,528
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,529
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,530
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,531
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,532
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,533
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,534
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,535
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,536
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,537
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,538
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,539
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,540
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,541
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,542
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,543
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,544
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,545
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,546
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,547
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,548
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,549
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,550
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,551
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,552
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,553
24,SAN LUIS POTOSI,1,1,20,MATEHUALA,554
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1520
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1521
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1522
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1523
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1524
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1525
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1526
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1527
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1528
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1530
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1531
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1532
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1533
24,SAN LUIS POTOSI,1,1,44,VANEGAS,1534
24,SAN LUIS POTOSI,1,1,45,VENADO,1536
24,SAN LUIS POTOSI,1,1,45,VENADO,1537
24,SAN LUIS POTOSI,1,1,45,VENADO,1538
24,SAN LUIS POTOSI,1,1,45,VENADO,1539
24,SAN LUIS POTOSI,1,1,45,VENADO,1540
24,SAN LUIS POTOSI,1,1,45,VENADO,1541
24,SAN LUIS POTOSI,1,1,45,VENADO,1542
24,SAN LUIS POTOSI,1,1,45,VENADO,1543
24,SAN LUIS POTOSI,1,1,45,VENADO,1544
24,SAN LUIS POTOSI,1,1,45,VENADO,1545
24,SAN LUIS POTOSI,1,1,45,VENADO,1546
24,SAN LUIS POTOSI,1,1,45,VENADO,1547
